name , cost , 
Audi A4, 1670000000đ , 
Audi A6, 2350000000đ , 
Audi A7, 3470000000đ , 
Audi A8 55, 4850000000đ , 
Audi A8 55 Premium, 5860000000đ , 
Audi Q2, 1470000000đ , 
Audi Q3 35 TFSI, 1710000000đ , 
Audi Q3 35 TFSI Sline, 1760000000đ , 
Audi Q5 45 Sline, 2240000000đ , 
Audi Q5 45 Sportback, 2430000000đ , 
Audi Q7 (Không đèn Matrix), 3260000000đ , 
Audi Q7 (Có đèn Matrix), 3360000000đ , 
Audi Q8 55 Sline (Không cửa hít), 4040000000đ , 
Audi Q8 55 Sline (Có cửa hít), 4100000000đ , 
Audi e-Tron GT, 4610000000đ , 
Audi e-Tron GTRS, 5790000000đ , 
Audi e-Tron Suba, 2910000000đ , 
